Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,RenTech_1,Tick,0,0,0,0,,,0,0,0,OK
4e-06,hbxql_114514,Tick,0,0,0,0,,,0,0,0,OK
4e-06,ZenlikeTrading_428586,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Himalayas_748297,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Quicker_1024,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Triumphal_Zephyr_112358,Tick,0,0,0,0,,,0,0,0,OK
4e-06,DollarsPlusPlus_1,Tick,0,0,0,0,,,0,0,0,OK
0.217862,RenTech_1,Tick,0,0,0,0,126400,,0,0,0,OK
0.217862,hbxql_114514,Tick,0,0,0,0,126400,,0,0,0,OK
0.217862,ZenlikeTrading_428586,Tick,0,0,0,0,126400,,0,0,0,OK
0.217862,Himalayas_748297,Tick,0,0,0,0,126400,,0,0,0,OK
0.217862,Quicker_1024,Tick,0,1,-1,1,126400,,-13,13,13,OK
0.217862,Triumphal_Zephyr_112358,Tick,0,0,0,0,126400,,0,0,0,OK
0.217862,DollarsPlusPlus_1,Tick,0,0,0,0,126400,,0,0,0,OK
0.506787,RenTech_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.506787,hbxql_114514,Tick,0,0,0,0,126600,,0,0,0,OK
0.506787,ZenlikeTrading_428586,Tick,0,0,0,0,126600,,0,0,0,OK
0.506787,Himalayas_748297,Tick,0,0,0,0,126600,,0,0,0,OK
0.506787,Quicker_1024,Tick,0,11,-11,11,126600,,-140,1140,1140,OK
0.506787,Triumphal_Zephyr_112358,Tick,0,0,0,0,126600,,0,0,0,OK
0.506787,DollarsPlusPlus_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.737436,RenTech_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.737436,hbxql_114514,Tick,0,0,0,0,126600,,0,0,0,OK
0.737436,ZenlikeTrading_428586,Tick,0,0,0,0,126600,,0,0,0,OK
0.737436,Himalayas_748297,Tick,0,0,0,0,126600,,0,0,0,OK
0.737436,Quicker_1024,Tick,0,11,-11,11,126600,,-140,1140,1140,OK
0.737436,Triumphal_Zephyr_112358,Tick,0,0,0,0,126600,,0,0,0,OK
0.737436,DollarsPlusPlus_1,Tick,0,0,0,0,126600,,0,0,0,OK
0.962975,RenTech_1,Tick,0,0,0,0,126700,,0,0,0,OK
0.962975,hbxql_114514,Tick,0,0,0,0,126700,,0,0,0,OK
0.962975,ZenlikeTrading_428586,Tick,0,10,-10,10,126700,,-127,1127,1127,OK
0.962975,Himalayas_748297,Tick,0,0,0,0,126700,,0,0,0,OK
0.962975,Quicker_1024,Tick,10,11,-1,1,126700,,113,-1113,-1113,OK
0.962975,Triumphal_Zephyr_112358,Tick,0,0,0,0,126700,,0,0,0,OK
0.962975,DollarsPlusPlus_1,Tick,0,0,0,0,126700,,0,0,0,OK
1.246121,RenTech_1,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.246121,hbxql_114514,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.246121,ZenlikeTrading_428586,Tick,0,10,-10,10,126700,126700,-127,1127,1127,OK
1.246121,Himalayas_748297,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.246121,Quicker_1024,Tick,10,11,-1,1,126700,126700,113,-1113,-1113,OK
1.246121,Triumphal_Zephyr_112358,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.246121,DollarsPlusPlus_1,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.539798,RenTech_1,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.539798,hbxql_114514,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.539798,ZenlikeTrading_428586,Tick,0,10,-10,10,126700,126800,-127,1127,2127,OK
1.539798,Himalayas_748297,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.539798,Quicker_1024,Tick,20,11,9,-9,126700,126800,366,-2366,-3266,OK
1.539798,Triumphal_Zephyr_112358,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.539798,DollarsPlusPlus_1,Tick,0,10,-10,10,126700,126800,-127,-873,127,OK
1.745282,RenTech_1,Tick,0,10,-10,10,127100,126800,-127,-873,-3413,OK
1.745282,hbxql_114514,Tick,0,0,0,0,127100,126800,0,0,0,OK
1.745282,ZenlikeTrading_428586,Tick,10,10,0,0,127100,126800,126,4874,4874,OK
1.745282,Himalayas_748297,Tick,0,0,0,0,127100,126800,0,0,0,OK
1.745282,Quicker_1024,Tick,30,11,19,-19,127100,126800,620,-2620,2206,OK
1.745282,Triumphal_Zephyr_112358,Tick,0,0,0,0,127100,126800,0,0,0,OK
1.745282,DollarsPlusPlus_1,Tick,0,20,-20,20,127100,126800,-254,-5746,-10826,OK
2.037596,RenTech_1,Tick,0,10,-10,10,127100,126800,-127,-873,-3413,OK
2.037596,hbxql_114514,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.037596,ZenlikeTrading_428586,Tick,10,10,0,0,127100,126800,126,4874,4874,OK
2.037596,Himalayas_748297,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.037596,Quicker_1024,Tick,30,11,19,-19,127100,126800,620,-2620,2206,OK
2.037596,Triumphal_Zephyr_112358,Tick,0,0,0,0,127100,126800,0,0,0,OK
2.037596,DollarsPlusPlus_1,Tick,0,20,-20,20,127100,126800,-254,-5746,-10826,OK
2.261334,RenTech_1,Tick,0,10,-10,10,127100,126800,-127,-873,-3413,OK
2.261334,hbxql_114514,Tick,0,0,0,0,127100,126800,0,0,0,OK
